params,mean_test_score,std_test_score,mean_fit_time,std_fit_time
"{'output_activation': 'sigmoid', 'optimizer_learning_rate': 0.0001, 'optimizer': 'adam', 'loss': 'categorical_crossentropy', 'hidden_layer_sizes': [64, 32], 'hidden_activation': 'leaky_relu', 'epochs': 200, 'batch_size': 128}",0.9140161752700806,0.012092765778969429,16.947944355010986,9.64865022642107
"{'output_activation': 'softmax', 'optimizer_learning_rate': 0.0001, 'optimizer': 'rmsprop', 'loss': 'categorical_crossentropy', 'hidden_layer_sizes': [64], 'hidden_activation': 'relu', 'epochs': 200, 'batch_size': 128}",0.9117605447769165,0.007047017610114405,22.926926374435425,6.543673980003902
"{'output_activation': 'softmax', 'optimizer_learning_rate': 0.0001, 'optimizer': 'adam', 'loss': 'categorical_crossentropy', 'hidden_layer_sizes': [64], 'hidden_activation': 'relu', 'epochs': 200, 'batch_size': 128}",0.9117520213127136,0.01952315203564903,17.384844255447387,5.298803980549663
"{'output_activation': 'softmax', 'optimizer_learning_rate': 0.001, 'optimizer': 'adam', 'loss': 'categorical_crossentropy', 'hidden_layer_sizes': [64], 'hidden_activation': 'relu', 'epochs': 150, 'batch_size': 128}",0.9110001444816589,0.016339744653461545,8.973017311096191,2.459202668229116
"{'output_activation': 'softmax', 'optimizer_learning_rate': 0.0001, 'optimizer': 'rmsprop', 'loss': 'categorical_crossentropy', 'hidden_layer_sizes': [96], 'hidden_activation': 'relu', 'epochs': 150, 'batch_size': 128}",0.9110001444816589,0.012824168687216968,8.529694843292237,2.418544156683073
"{'output_activation': 'softmax', 'optimizer_learning_rate': 0.01, 'optimizer': 'adam', 'loss': 'categorical_crossentropy', 'hidden_layer_sizes': [64, 32], 'hidden_activation': 'relu', 'epochs': 200, 'batch_size': 128}",0.9110001444816589,0.018312255843085788,11.314792060852051,0.2796953794043072
"{'output_activation': 'sigmoid', 'optimizer_learning_rate': 0.01, 'optimizer': 'rmsprop', 'loss': 'categorical_crossentropy', 'hidden_layer_sizes': [64, 32], 'hidden_activation': 'leaky_relu', 'epochs': 100, 'batch_size': 128}",0.9102482676506043,0.018116906116012736,5.3389490127563475,0.6759258620351921
"{'output_activation': 'sigmoid', 'optimizer_learning_rate': 0.0001, 'optimizer': 'rmsprop', 'loss': 'categorical_crossentropy', 'hidden_layer_sizes': [96], 'hidden_activation': 'relu', 'epochs': 200, 'batch_size': 128}",0.9102482676506043,0.013421128687487049,15.545752429962159,5.420516526882961
"{'output_activation': 'sigmoid', 'optimizer_learning_rate': 0.01, 'optimizer': 'adam', 'loss': 'categorical_crossentropy', 'hidden_layer_sizes': [64], 'hidden_activation': 'leaky_relu', 'epochs': 200, 'batch_size': 128}",0.9094963908195496,0.015313165651082651,12.953948831558227,4.170776025412667
"{'output_activation': 'sigmoid', 'optimizer_learning_rate': 0.001, 'optimizer': 'rmsprop', 'loss': 'categorical_crossentropy', 'hidden_layer_sizes': [64], 'hidden_activation': 'relu', 'epochs': 150, 'batch_size': 128}",0.9094935536384583,0.011505243763814156,9.204720401763916,1.9868164304081308
"{'output_activation': 'softmax', 'optimizer_learning_rate': 0.01, 'optimizer': 'adam', 'loss': 'categorical_crossentropy', 'hidden_layer_sizes': [96], 'hidden_activation': 'relu', 'epochs': 150, 'batch_size': 128}",0.9087473392486572,0.00967136690959713,9.381658267974853,1.8185307693088437
"{'output_activation': 'softmax', 'optimizer_learning_rate': 0.001, 'optimizer': 'adam', 'loss': 'categorical_crossentropy', 'hidden_layer_sizes': [96], 'hidden_activation': 'relu', 'epochs': 150, 'batch_size': 128}",0.9087388277053833,0.01030821853390544,8.726839399337768,2.0926308535918774
"{'output_activation': 'sigmoid', 'optimizer_learning_rate': 0.001, 'optimizer': 'rmsprop', 'loss': 'categorical_crossentropy', 'hidden_layer_sizes': [96, 32], 'hidden_activation': 'relu', 'epochs': 200, 'batch_size': 128}",0.9087388277053833,0.015029118391128403,12.460254240036011,4.459779978185813
"{'output_activation': 'sigmoid', 'optimizer_learning_rate': 0.001, 'optimizer': 'rmsprop', 'loss': 'categorical_crossentropy', 'hidden_layer_sizes': [96], 'hidden_activation': 'relu', 'epochs': 100, 'batch_size': 128}",0.908735990524292,0.010045968759996858,11.344487047195434,5.053750284862056
"{'output_activation': 'sigmoid', 'optimizer_learning_rate': 0.001, 'optimizer': 'adam', 'loss': 'categorical_crossentropy', 'hidden_layer_sizes': [64, 16], 'hidden_activation': 'relu', 'epochs': 150, 'batch_size': 128}",0.90798978805542,0.007049254376739206,11.37438769340515,5.0877935761274635
"{'output_activation': 'sigmoid', 'optimizer_learning_rate': 0.0001, 'optimizer': 'adam', 'loss': 'categorical_crossentropy', 'hidden_layer_sizes': [64, 32], 'hidden_activation': 'relu', 'epochs': 150, 'batch_size': 128}",0.9072407484054565,0.006115521372170659,9.76653323173523,2.3303149289511023
"{'output_activation': 'softmax', 'optimizer_learning_rate': 0.001, 'optimizer': 'adam', 'loss': 'categorical_crossentropy', 'hidden_layer_sizes': [96, 32], 'hidden_activation': 'leaky_relu', 'epochs': 200, 'batch_size': 128}",0.907235074043274,0.015233573500329209,10.86780276298523,0.32952870421559116
"{'output_activation': 'sigmoid', 'optimizer_learning_rate': 0.01, 'optimizer': 'adam', 'loss': 'categorical_crossentropy', 'hidden_layer_sizes': [64, 32], 'hidden_activation': 'leaky_relu', 'epochs': 100, 'batch_size': 128}",0.9057284712791442,0.006789711296475391,6.40472526550293,0.7287488709561637
"{'output_activation': 'softmax', 'optimizer_learning_rate': 0.0001, 'optimizer': 'rmsprop', 'loss': 'categorical_crossentropy', 'hidden_layer_sizes': [64, 16], 'hidden_activation': 'leaky_relu', 'epochs': 150, 'batch_size': 128}",0.905725634098053,0.019267604659537835,9.833169317245483,2.2005613327042126
"{'output_activation': 'softmax', 'optimizer_learning_rate': 0.001, 'optimizer': 'rmsprop', 'loss': 'categorical_crossentropy', 'hidden_layer_sizes': [96], 'hidden_activation': 'relu', 'epochs': 150, 'batch_size': 128}",0.9057199716567993,0.013356214999672355,8.814300537109375,2.4495317922652347
"{'output_activation': 'softmax', 'optimizer_learning_rate': 0.01, 'optimizer': 'rmsprop', 'loss': 'categorical_crossentropy', 'hidden_layer_sizes': [64, 32], 'hidden_activation': 'relu', 'epochs': 100, 'batch_size': 128}",0.9049652457237244,0.0163155231075157,7.143113327026367,2.518915293449979
"{'output_activation': 'softmax', 'optimizer_learning_rate': 0.0001, 'optimizer': 'adam', 'loss': 'categorical_crossentropy', 'hidden_layer_sizes': [64, 32], 'hidden_activation': 'relu', 'epochs': 200, 'batch_size': 128}",0.9049624085426331,0.019650657066247773,18.341895818710327,4.836029884178429
"{'output_activation': 'sigmoid', 'optimizer_learning_rate': 0.001, 'optimizer': 'rmsprop', 'loss': 'categorical_crossentropy', 'hidden_layer_sizes': [64, 32], 'hidden_activation': 'leaky_relu', 'epochs': 150, 'batch_size': 128}",0.9049595713615417,0.01767469405439429,8.953838634490968,1.744682902839336
"{'output_activation': 'softmax', 'optimizer_learning_rate': 0.01, 'optimizer': 'rmsprop', 'loss': 'categorical_crossentropy', 'hidden_layer_sizes': [96, 32], 'hidden_activation': 'relu', 'epochs': 100, 'batch_size': 128}",0.9042133808135986,0.008892837827375598,5.185901260375976,0.7271215450946756
"{'output_activation': 'softmax', 'optimizer_learning_rate': 0.001, 'optimizer': 'adam', 'loss': 'categorical_crossentropy', 'hidden_layer_sizes': [64, 8], 'hidden_activation': 'relu', 'epochs': 150, 'batch_size': 128}",0.9034444689750671,0.02447323015387742,14.182040214538574,4.3017660297730504
"{'output_activation': 'softmax', 'optimizer_learning_rate': 0.01, 'optimizer': 'adam', 'loss': 'categorical_crossentropy', 'hidden_layer_sizes': [96, 8], 'hidden_activation': 'leaky_relu', 'epochs': 200, 'batch_size': 128}",0.9027039408683777,0.018596842225116542,10.172784948349,1.1188864291341665
"{'output_activation': 'softmax', 'optimizer_learning_rate': 0.01, 'optimizer': 'rmsprop', 'loss': 'categorical_crossentropy', 'hidden_layer_sizes': [64, 16], 'hidden_activation': 'relu', 'epochs': 200, 'batch_size': 128}",0.9012001633644104,0.012985034256911852,16.790109634399414,5.426565228877162
"{'output_activation': 'softmax', 'optimizer_learning_rate': 0.001, 'optimizer': 'adam', 'loss': 'categorical_crossentropy', 'hidden_layer_sizes': [96, 8], 'hidden_activation': 'leaky_relu', 'epochs': 150, 'batch_size': 128}",0.9004284381866455,0.01984924487272677,8.63846664428711,2.0930082397229097
"{'output_activation': 'softmax', 'optimizer_learning_rate': 0.001, 'optimizer': 'rmsprop', 'loss': 'categorical_crossentropy', 'hidden_layer_sizes': [96, 16], 'hidden_activation': 'relu', 'epochs': 150, 'batch_size': 128}",0.8997020959854126,0.01130995126913743,13.45032320022583,4.823302719754956
"{'output_activation': 'sigmoid', 'optimizer_learning_rate': 0.0001, 'optimizer': 'rmsprop', 'loss': 'categorical_crossentropy', 'hidden_layer_sizes': [96, 8], 'hidden_activation': 'relu', 'epochs': 200, 'batch_size': 128}",0.8996935725212097,0.016318976390682544,15.162864685058594,4.921757888753706
